text,rating,polarity_score,polarity
tahu neg guna,1,5,positive
,4,0,neutral
errorrrr muluu oyyy,1,0,neutral
bantu dunia profesional personal branding,5,4,positive
email mohon buka,5,5,positive
faedah neg langgan mahal,1,7,positive
mantao,5,0,neutral
is truly one of the best platforms for professional networking and career opportunities it makes job searching so much easier and more effective even across countries and continents a great tool for connecting professionals worldwide,5,3,positive
loadingnya kali jam hasil cape nunggu sumpah,1,3,positive
oke,5,2,positive
bom dapet kerja,5,5,positive
ribet verifikasi id dah tetep gabisa kocak,1,-9,negative
mualai sulit,1,0,neutral
daftar ko bisa neg,3,1,positive
guud,5,0,neutral
,5,0,neutral
kurang boros kuota,4,-10,negative
its ok,4,4,positive
i deleted because i was forced verify it which costs money,1,0,neutral
cost consultants consulting quantity surveyors,3,0,neutral
oke mantul,5,2,positive
untung,5,3,positive
bisa neg upload foto profil ganti gaes bisa neg upload foto alas neg gimana tuh,1,9,positive
tolong bantu,5,6,positive
super apps trully linked your circle network koneksi and silaturahmi best ever had and showing off on search engine as valid legitimate apps,5,5,positive
hilang fitur baru video reel loadingnya,5,3,positive
periksa aman,1,-5,negative
bagus sharing lowong kerja,5,7,positive
susah,1,-3,negative
gabisa loginpadahal jaring aman gada kendala,1,3,positive
gagal verivikasi ktp cahaya gambar,1,-2,negative
bantu pennggalaman,5,3,positive
opsional,5,0,neutral
sampah lamar hiredtoday pas ujungujungnya langsung aada tulis dapat neg temu halaman asli mah sampah bangett mending hapus playstore guna neg jugaa auto uninstal busuk,1,-3,negative
belibet susah,1,-3,negative
bantu usaha,5,4,positive
aj sulit bisa neg kacau bugg,1,0,neutral
verifikasi data lambat responsif neg lambat,1,-1,negative
ajar kembang komunitas positif,5,10,positive
iklan ganggu,5,-4,negative
cari kerja dgn tampil easy interface,5,0,neutral
jos jisht,5,0,neutral
mari laku perisa cepat cepat apa jam gua nunggu muter muter loading programer auth verifikasi ganti gua,1,5,positive
bagus informasi butuh cuman kurang jg susup tipu posting job seejers jerat korban depan harap tolong bs filter tipu rugi cari kerja negara australia tipu tawar kpd gani tggi uang nilai sedikit neg dgn alas buat visa kerja tolong perlu neg terima kas,5,1,positive
alam kesalahn sistem salah tsbt kalian neg akibat bisa neg,1,-5,negative
periksa aman cepat,1,-2,negative
mudah cari,5,1,positive
beneran ntar neg hoax gw klo bener gw kerja gw,3,3,positive
cant and cant receive verification code mobile number maybe bankrupt,1,0,neutral
kren muas,5,5,positive
hidup harap,3,5,positive
tolol kah brp kali dw ulang ttp bisa neg periksa aman pake kuota sinyal bagus baik jelas neg banget aplikasi,1,-9,negative
thn pas thn buka susah loding banget,1,4,positive
jelas neg banget cok verifikasi pake ktp bisa neg tolong baik,1,8,positive
oc,5,0,neutral
yha,5,0,neutral
bisa neg cari kerja postingan kolom cari muncul angka total postingan muncul neg postingan mohon baik,1,3,positive
bantu info kini,5,3,positive
menu tampil postingan error bisa neg tampil postingan kalang,3,-3,negative
bisa neg filter postingan apply kerja mudah banget,3,7,positive
fitur hasil search postingan muncul neg search kunci jakarta hasil postingan ada neg muncul,1,15,positive
bagus,3,2,positive
all information is good and very useful,5,5,positive
bisa neg verifikasi pas masuk verifikasi gmail eror bulakbalik,4,-4,negative
perinci percaya,4,2,positive
ulang karna hp restart pas gilir verifikasi persona kirim minta cek kala gitu tolong baik gimana edit minta verifikasi diperiksaditerima coba masuk suruh foto id tp pas foto kirim minta sampe csnya cari ada neg bikin lapor dr webnya karna bisa neg bikin lapor,1,26,positive
sampah ribet,1,-8,negative
robot jebak topeng purapura,1,0,neutral
gjls gabisa ngestuck periksa aman cepat,1,-2,negative
manfaat cari relasi,5,5,positive
kagak untung pas download posisi kerja donlot ken dpt peluang kerja tp isi post loker bodong email kagak da respon isi flexing jabat ngeluh update status nongol wallujung kerja belah,1,1,positive
ajar,4,1,positive
jujur bantu,5,7,positive
temcamsct,1,0,neutral
mudah mudah kerja,5,10,positive
dah pas pake email teka teki pilih visualsuara bener ulang teka teki mentok situ mohon baik,1,1,positive
pindah pas masukin google knp layar putih ku tunggu tolong maksud,1,7,positive
bisa neg karna tolak akses trus,1,-2,negative
tolong tingkat,5,4,positive
aman data buruk bobol asing masang verifikasi langkah lagi neg pakai ampas hati hati pakai mending pakai jobseeker,1,-8,negative
akun sulit,1,0,neutral
bikin x ganti email ganti nama ganti foto bakal neg ujung verifikasi data verifikasi id ktpsim hasil ujung zooooonkkk buang,1,3,positive
jelas neg curi data pribadi sajah hati hati kena hack retas fi batas permanen detai data identitas pribadi batas kecewa parah curi data identitas guna tutup guna selesai neg tolong jual data,1,-29,negative
ribet ulang masuk neg mentok tulil,1,-12,negative
bikin sampe x kena restricted gatau mana verif identitas gabisa nyusahin connectionnya hilang gitu,1,-1,negative
rasa neg langgan dana tarik tolong solusi refund,1,12,positive
,5,0,neutral
,5,0,neutral
guna neg,1,1,positive
nice platform sosial media for job search,5,8,positive
kudu selesain captcapas jawab bener ulang lagidungu emang,1,6,positive
ajar,5,1,positive
batasidan ganti nama setor identitas resmi bahaya nihh,1,-3,negative
sesuai data mas blok usaha gagal kecewa salah info,1,-10,negative
periksa aman cepat nge stuck situ gimana mw cari loker situ,1,-5,negative
kau judol data,1,-3,negative
umur th cari loker soper pribadi,5,1,positive
poko bintang,5,-2,negative
alam bidang interior kerja plapon,5,4,positive
mahal harga upgrade premium dr harga jtkita cari loker buat neg buang duit,5,4,positive
good aplication,5,5,positive
super,5,3,positive
tolong balikin uang duit dana tibamelakukan bayar uang makan keluarga tolong kembali,1,16,positive
bantu jembatan,5,-1,negative
informasi lengkap,5,4,positive
mantep,4,0,neutral
tulis mari periksa aman cepat haya henti situ tampil neg apaapa bisa neg ada solusi plis tolong respon fatal bangay suruh upload dokumen maish nghk tahun lohj,1,4,positive
buruk tibatiba batas proses daftar baru sulit,1,-6,negative
bisa neg,1,0,neutral
bagus luas cari lapang pekerjan,5,5,positive
manfaat bantu,5,8,positive
susah verifikasi nonaktif konfirmasi neg guna,1,1,positive
bisa neg mendownload,5,0,neutral
excellent,5,0,neutral
error terusss diupdate ttp bisa neg buka tolong team bantu,1,5,positive
good aplication,5,5,positive
bantu banget cari kerja sesuai sklill alam dabest linkedln,5,8,positive
good nice,5,9,positive
gimana kena ban,1,-3,negative
this application is very important for me it helps me a lot looking for a job basically stars for this application,5,-5,negative
rumah tanga,2,3,positive
premium mahal banget posisi cari kerja jta umrumk cuman jtaan,2,3,positive
rekomended,5,0,neutral
nice application for find relation or a jobs,5,4,positive
verifikasi ribet banget ktp chip sim pilih bilang cuma neg paspor gilir ktp sim scan paspor fungsi scan pake nfc benarbenar buruk,1,-13,negative
allah uang tarik otomatis dana nila sengaja neg pencet fitur langgan nyasaya mohon kembali uang sayasaya butuh,1,11,positive
the best,5,0,neutral
tangguh alas jelas neg laku neg langgar sedikit kode verifikasi identitas dapat neg kirim alas minta pertanggungjawaban milik customer service customer service guna neg abai pesan kirim,1,8,positive
the best,5,0,neutral
alimanten,4,0,neutral
mantap,3,5,positive
good application,5,5,positive
bantu,5,3,positive
rampok iklas neg uang bayar sekolah anak curi izin neg pernah neg laku langgan tibatiba potong saldo ridho neg iklas neg dunia akherat,1,-10,negative
top,5,5,positive
bisa neg auto email google suruh masuk bisa neg,1,-5,negative
ngotak neg harga langgan atas juta,2,3,positive
bantu jobseeker,5,3,positive
keep it up,4,0,neutral
,1,0,neutral
sistem aman linkin bahaya hack otp kirim email akses,1,-9,negative
aplikasih bahaya,5,-5,negative
mantab,5,0,neutral
verivikasi kyc bisa neg akses haduh haduh ribet urus ngirim form bisa neg tembus tau neg gimna bingung kirim pesan gmail tanggap payah siasia verivikasi wajah ktp batas pikir kyc batas percaya kata ribet urus,1,-4,negative
pernah neg bantu,1,3,positive
ngak install ud kali kali tp kena bug,1,-3,negative
jelek bisa neg sinyal bagus,1,-3,negative
asa download kagak dah,1,-3,negative
mudah mudah cepat terima,5,13,positive
eror,1,-4,negative
politik bela masarakat,5,-1,negative
tips batal p njaman uatas hubung live chat wao alas batal siap data ktp ikut langkahlangkah batal instruksi cs jam,5,-12,negative
aplikasi keren banget hubung dunia batas neg,5,-4,negative
bagus koneksi rang guna cepat internetnya provider indonesia nggak kencang internet buka halaman satu internet kencang susah klo gitu kita,5,15,positive
bug di neg fix,1,0,neutral
guna neg sistem eror mau neg daftar pokok guna neg smaa,1,3,positive
bisa neg berkalikali verifikasi ngapangapain neg batas,1,-3,negative
udha berikn capca bnar salah,1,-4,negative
wartawan milik alam media cetak siar digital,5,3,positive
un,1,0,neutral
very smart,5,0,neutral
apa neg apain nonaktif hadeh kocak,1,-9,negative
jarang pake device sulit reset sandi ujungujungnya verifikasi identitas,4,0,neutral
jelek perangkat hilang bisa neg akuj,4,-2,negative
okey,5,0,neutral
pakai internet mudah cepat,4,7,positive
jelas neg salah sandi bener verifikasi sampe pake ktp salah gabisa gembel,1,-9,negative
moga apl bagus depan,5,3,positive
lot banget malam,1,-5,negative
admin proses bayar kita neg tanggung pernah neg mesan bayar saldo langsung ludas potong,1,4,positive
sistem mohon baik kena bug verifikasi kali salah sistem bisa neg mohon tingkat sistem baca tolong like komenan up baca,1,-2,negative
bantu,5,3,positive
bagus bantu cari kerja tolong lulus sma,5,12,positive
knp nonaktif bikin laku neg langgar apa tolong kembali,1,0,neutral
buruk milik batass masuk neg akal,1,-7,negative
flexibel,5,0,neutral
keren maju smart,5,0,neutral
senang informasi manfaat,5,12,positive
banyak eror pdhl email tp tulis daftar kirim undang connect orng tp masuk neg klo ku empat,1,1,positive
fleksible,5,0,neutral
bagus tunjang kerja pasti ngelinked inkan dg profesional,5,10,positive
gimana nge refund beli langgan saldo sedot tolong kembali saldo,5,11,positive
baik kali tau neg sebab,1,2,positive
baik atur tempat alatalat tulis pisah bentuk tulis corp good luck repair,3,14,positive
good,5,5,positive
gajelass ngisi data maaf salah linkedlntyd minimal benerin apl kaya gin lulus play store,1,-1,negative
titid problem tutup aplikasi,1,-10,negative
kampung,5,0,neutral
parik mebantu hubung,4,1,positive
sangatsangat ngebug bisa neg,1,0,neutral
security checks sulit guna,2,1,positive
good job,5,5,positive
gagal upload pea,1,-4,negative
dongo pas verifikasi bot neg pas pas ada neg beda tolong,3,12,positive
nice,5,4,positive
baik,5,3,positive
lolaaabug parah baik mudah komplen,1,2,positive
basam,5,0,neutral
batal premium bayar otomatis potong saldo pemberitahuan neg refund uang lanjur potong mohon info,1,-4,negative
tolong verivikasi looo laku tentu macem neg platform kenal ribet neg iya janganjangan kau tipu verifikasi data,1,-6,negative
dpt neg ap,1,0,neutral
susah cari kerja,1,-4,negative
bagus nyari info,4,-3,negative
alam ikut praktek kerja lapang salah pkspabrik kelapa sawit mekanik tyre salah tambang,5,-4,negative
,5,0,neutral
bagus ada neg kendala,5,6,positive
bisa neg,1,0,neutral
lolos lolos seleksi alam lop,3,-6,negative
usaha swasta wajib data legal,1,-4,negative
tani,5,0,neutral
kerja marketing,5,2,positive
susah,1,-3,negative
daftar suruh ngisi nomor hp ngisi kode verifikasi eh kode kirim kirim ganti nomor tetep kirim neg pindah sms telfon tetep ada neg tolong bantu gimana bulan nunggu kode verifikasi dapet kali kali daftar tetep ajaa ada neg satu kode verifikasi masuk,1,14,positive
tolong banget bisa neg masukmasuk berharihari pencet tombol verify with persona muncul notif tulis youve already submitted a request gitugitu sampe ganti presiden laku kirim data masalah help website resmi ngedm x tindak tolong selesai bener terimakasih,1,21,positive
ribet verifikasi stcuk masuk kode otp bikin simple ribet pasti verifikasi jalan,1,-8,negative
nonaktif urgent buka,1,3,positive
sengaja neg langgan saldo potong aju refund google harap refund saldo butuh uang bantu kerja boss,1,2,positive
errornya,1,0,neutral
dhau hare foto ne hau hakfodak x hau hanoin kal avo nana haluhan los ami no familia nebe uluk luta mos ba avo nana nia poltika atu lori timor ba ukun ann tiu nando ho naran konhesido c lori tas mane chefe no cf ba organizasaun colimlau fzthau hnia maun alin sira nebe sira oz oraganizasaun colimau mak hanesan armando alias kipar tiu mantos alias sakunar no tiu martinu no sira seluk tan nebe hau temin iha nee nia oin quaze hanesan ho avo xanana deit dala barak ema,4,3,positive
bagus responsif,5,2,positive
lumayan,5,1,positive
ngapa neg linkedln nonaktif ganggu aktivitas,1,-4,negative
buruk aman aman guna buka appnya terang data ikutin alur verifikasi persona gagal upload ulang kali hapus kesal butuh bisa neg baik guna hapus ada neg,1,-9,negative
baikbaik,5,0,neutral
pabrik kelapa sawit,5,0,neutral
ari fikri,2,0,neutral
dibatasin mulu,1,2,positive
mudah hubung personal profesi,5,5,positive
suruh tekan email kirim ada neg apa sulit,3,2,positive
ok ok,4,8,positive
loading very speed up,5,0,neutral
bantu cari lowong kerja buat cv mula,5,0,neutral
proses pulih responsif neg coba hubung platform x ada neg responsif verifikasi data ada neg maju stuck bulan masuk neg akal kelas organisasi lambat proses adu guna cepat tanggap responsif pulih rubah nilai,1,16,positive
jelas neg blokir mulu nyusahin verif kode kirim neg kirim nyusahin doang ngebantu neg,1,2,positive
jelas neg tolol apl ribet banget pas bikin profile,1,-4,negative
daftar ribet verifikasi nomor telepon gagal,1,-7,negative
persona bisa neg verif bisa neg submit,1,0,neutral
manfaat,5,5,positive
ada neg cs dikit dikit batas et dah capek banget gua nunggu buang,1,-10,negative
tolong balikin duit ada neg info biaya potonganmya rb ambil tau potong kek gin bakal neg pake taiii balikin duit cepetttt hati hati pake duit dana habis ambil,1,-1,negative
eror daftar susah trus bisa neg,2,-6,negative
bisa neg tutup nonaktif bisa neg ubah password mohon aplikasi sempurna,1,-1,negative
salah mulu anj,1,-2,negative
bosen kena batas susah gabisa kayak batas ribet ku hapus,1,-26,negative
sukses sukses linkedln,4,6,positive
tolong baik hrus verifikasi kode dr emailno telp tidk hrs suru klik notifikasi pd sudh krn tuju otomatis device trims,2,13,positive
bisa neg verifikasi identitas ktp indonesia ktp dokumen resmi keluar perintah paspor sulit negara indonesia bilang masuk neg daftar harap guna hapus,1,-2,negative
bagus,5,2,positive
android icon hilang,1,3,positive
ingat neg,1,2,positive
hp suruh konfirmasi hp hp ganti neg hp blas edan aplikasi,1,-3,negative
biaya langgan mahal,1,3,positive
im truly grateful for thanks this i was able connect with the right people and land my current job its more than just a professional networkits a place full of opportunities and support for career growth,5,7,positive
uda isi data besok nonaktif suruh selfie foto ktp tp beku fix scam jual beli data transaksi ilegal,1,6,positive
tolong donk baik tp sesi ubah sandi bisa neg tolong baik,2,12,positive
senang,5,5,positive
knp disurh mulu padahl mlh bisa neg alas dibtasipusing allah kaya gitu mulu,1,11,positive
woi reset password sulit tinggal kirim via email susah si notif muncul neg woii,1,1,positive
hello i hope that the very high level of privacy for each user is further improved by the way it works if we block the user account it will automatically block every linked search engine and even all emails on the device i really need it please improve it immediately thanks,4,-6,negative
tibatiba force close buka tolong baik,3,7,positive
manfaat,5,5,positive
baik sistem block pilih,1,-7,negative
jelass neg gimana jelas neg data masukin foto ktp selesai eh masukin suruh verifikasi ktp sampe bisa neg verivikasi sampe terang kirim minta sila sampe terus,1,8,positive
mohon baik di neg batas,5,2,positive
payah loading,1,0,neutral
tolong update tolong fasilitas lapor tindak,3,10,positive
pt big,5,0,neutral
gw blokir gw lupa uda gw gbs skrng uda kerja dah lupa blokir gara inti ulang susah,1,-14,negative
persona kali coba tetep nggak,1,3,positive
good jobs,5,5,positive
bisa neg buka,1,3,positive
mula,4,-3,negative
hubung profesi beda bagi alam tahu,5,7,positive
sumber data bagus,5,-1,negative
tolong refund komfirmasi,1,3,positive
gabisa masuk gmail satu kirim code masuk neg verifikasi tulis kirim,1,1,positive
buruk verifikasi langkahterus nonaktif minta neg kode email kait alhasil kena hack,1,-12,negative
connection ada neg notif,1,4,positive
ok good jobs,5,9,positive
tolong baik bug verifikasi persona reset password bisa neg notifikasi dinonaktifkanakun batas tunggu minggu verifikasi persona diacc neg kirim national id driving license pusat bantu ada neg kabar cs temu neg indonesia alami tanggap neg turun percaya user aman mudah,1,27,positive
luarbiasa,5,0,neutral
mudah jalin koneksi milik minat kerja,5,13,positive
bs neg masuk mainteka teki bs neg masuk tolong,1,-3,negative
bail,5,0,neutral
pintar bantu pekejaan,5,3,positive
busuk pasu kode sesuai autentikasi terang sesuai neg ampe block payah guna neg,1,-3,negative
batas batas verifikasi bisa neg,1,-6,negative
mahasiswa kedapetan tugas fakultas kemaren apa neg masuk bisa neg senior ku gimana susah susah loh buat nyari temen koneksi khianat usaha,3,-18,negative
henti authencator bisa neg masuk,1,-7,negative
bibit kelapa sawit lc tanam sawit,4,0,neutral
hai tolong kembali dana dana potong dana coba kembali dana bisa neg tolong kembali pernah neg langgan,1,27,positive
tibatiba langgan bisa neg refund hubung costumer service tahu neg mana uang,1,7,positive
kali nonaktif selesai masukin data besok bisa neg tolong baik,1,5,positive
bisa neg verifikasi mohon bantu,1,5,positive
bisa neg hp untung laptop,1,3,positive
moga manfaat guna,4,7,positive
tolong kembali dana sayatolong bantu kkkarna memakainyadan neg dana potong otomotifsaya izin neg transaksi,1,12,positive
daftar bikin susah jaring stabil isi data sesuai masuk suruh maksud,1,4,positive
pakai hp reset tp sulit masuk persona tetep verifikasi email nomer hp dilakuin bisa neg masuk,1,-6,negative
mau neg sebenrnya hak cuman ada neg opsi ada neg jele banget sistem manusiawisaya neg dah cuman masalah mimin tll buatbuat mudah tolong jgn lambat kerja tll,1,13,positive
pas daftar tulis maaf salah silah,1,5,positive
jls neg verifikasi cepat pdhl,1,3,positive
kenapaaplikasi linked bisa neg dibukasaya kevewa denganpelayanan datrilinked,1,0,neutral
,5,0,neutral
bagus bantu cari kerja,5,4,positive
bagus cari kerja moga berkah kerja kawan cari kerja,5,7,positive
taik ad transaksi otomatis ad neg langgan saldo dana langsung hilang,1,16,positive
error tibatiba nonaktif berkalikali masalah,1,-9,negative
gabisa masuk pas nyoba verif persona tpi gabisa,1,0,neutral
bisa neg stupid,1,0,neutral
gatau alas bisa neg buka suruh ulang pas pesan batas gabisa buka tolong,3,8,positive
bangun relasi luas,5,6,positive
alam baik kenal kerja,5,10,positive
moga berkah,4,5,positive
nyari kerja non aktif apas,2,7,positive
sambung koneksi pending tolong optimal,1,-1,negative
bagus manfaat,5,7,positive
cobasemoga bagus,4,2,positive
parah banget neg scan wajah ktp pas tetep bisa neg mohon data pakai terima,1,0,neutral
good inspiratif,5,5,positive
mantap bro,5,5,positive
sulit,1,0,neutral
hello i would like ask for a response from i am requesting assistance regarding my account i have contacted you via email facebook and x but there has been no response,5,2,positive
sanget bantu cari kerja,5,2,positive
bravo,5,0,neutral
tolong baik bug minggu beres isi data dipake buka aplikasi akun gabisa buka alas nonaktif batas verifikasi identitas persona proses sampe akun isi persona tulis edit alhamdulillah akun,5,12,positive
salah,1,-4,negative
bisa neg buka lapor ntah mana,1,5,positive
tutup tolong konfirmasi,3,4,positive
ngestuck captcha,1,0,neutral
